Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
MASS,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,7.3-60,NA,"R (>= 4.0), grDevices, graphics, stats, utils",methods,NA,"lattice, nlme, nnet, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.1
MAST,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.28.0,NA,"SingleCellExperiment (>= 1.2.0), R(>= 3.5)","Biobase, BiocGenerics, S4Vectors, data.table, ggplot2, plyr,
stringr, abind, methods, parallel, reshape2, stats, stats4,
graphics, utils, SummarizedExperiment(>= 1.5.3), progress,
Matrix",NA,"knitr, rmarkdown, testthat, lme4(>= 1.0), blme, roxygen2(>
6.0.0), numDeriv, car, gdata, lattice, GGally, GSEABase, NMF,
TxDb.Hsapiens.UCSC.hg19.knownGene, rsvd, limma, RColorBrewer,
BiocStyle, scater, DelayedArray, HDF5Array, zinbwave, dplyr",NA,GPL(>= 2),NA,NA,NA,NA,no,4.3.3
mathjaxr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.8-0,NA,NA,NA,NA,js,NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
Matrix,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.6-5,recommended,"R (>= 3.5.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph",GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,4.3.2
MatrixGenerics,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.14.0,NA,matrixStats (>= 1.0.0),methods,NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.2
MatrixModels,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5-4,NA,R (>= 3.6.0),"stats, methods, Matrix (>= 1.6-0), Matrix(< 1.8-0)",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
matrixStats,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.0,NA,R (>= 3.4.0),NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
matrixTests,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.3,NA,R (>= 3.2.2),matrixStats,NA,"PMCMRplus, car, cosinor, cosinor2, moments, nortest",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
mclust,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,6.1.1,NA,R (>= 3.0),"stats, utils, graphics, grDevices",NA,"knitr (>= 1.4), rmarkdown (>= 2.10), mix (>= 1.0), geometry
(>= 0.4), MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
MCMCprecision,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.0,NA,R (>= 3.0.0),"Rcpp, parallel, utils, stats, Matrix, combinat","Rcpp, RcppArmadillo, RcppProgress, RcppEigen","testthat, R.rsp",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
MEGENA,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3.7,NA,"R (>= 3.4.0),doParallel (>= 1.0.11),foreach (>= 1.4.4),igraph
(>= 1.2.1)","Rcpp (>= 0.11.3),Matrix (>= 1.1-5),ggplot2 (>= 1.0.0),reshape
(>= 0.8.5),fpc (>= 2.1-11),cluster (>= 2.0.7-1),ggrepel (>=
0.5), ggraph (>= 1.0.1)","Rcpp,BH","knitr, rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.3.3
memoise,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0.1,NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.1
metadat,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4-0,NA,R (>= 4.0.0),"utils, tools, mathjaxr",NA,"metafor, numDeriv, BiasedUrn, dfoptim, igraph, ape, testthat,
digest, lme4, clubSandwich, meta, netmeta, mvtnorm, gridExtra,
rms, bayesmeta, ellipse",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
metafor,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.8-0,NA,"R (>= 4.0.0), methods, Matrix, metadat, numDeriv","stats, utils, graphics, grDevices, nlme, mathjaxr, pbapply,
digest",NA,"lme4, pracma, minqa, nloptr, dfoptim, ucminf, lbfgsb3c,
subplex, BB, Rsolnp, alabama, optimParallel, optimx,
CompQuadForm, mvtnorm, BiasedUrn, Epi, survival, GLMMadaptive,
glmmTMB, car, multcomp, gsl, sp, ape, boot, clubSandwich,
crayon, R.rsp, testthat, rmarkdown, wildmeta, emmeans,
estmeansd, metaBLUE, rstudioapi, glmulti, MuMIn, mice, Amelia,
calculus",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
metapod,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10.1,NA,NA,Rcpp,Rcpp,"testthat, knitr, BiocStyle, rmarkdown",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
methods,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.3.3,base,NA,"utils, stats",NA,codetools,NA,Part of R 4.3.3,NA,NA,NA,NA,yes,4.3.3
mgcv,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.9-3,recommended,"R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
mice,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.17.0,NA,R (>= 2.10.0),"broom, dplyr, glmnet, graphics, grDevices, lattice, mitml,
nnet, Rcpp, rpart, stats, tidyr, utils","cpp11, Rcpp","broom.mixed, future, furrr, haven, knitr, literanger, lme4,
MASS, miceadds, pan, parallelly, purrr, ranger, randomForest,
rmarkdown, rstan, survival, testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
microbenchmark,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.0,NA,R (>= 3.2.0),"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.3
miloR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10.0,NA,"R (>= 4.0.0), edgeR","BiocNeighbors, BiocGenerics, SingleCellExperiment, Matrix (>=
1.3-0), S4Vectors, stats, stringr, methods, igraph, irlba,
cowplot, BiocParallel, BiocSingular, limma, ggplot2, tibble,
matrixStats, ggraph, gtools, SummarizedExperiment, patchwork,
tidyr, dplyr, ggrepel, ggbeeswarm, RColorBrewer, grDevices",NA,"testthat, MASS, mvtnorm, scater, scran, covr, knitr,
rmarkdown, uwot, scuttle, BiocStyle, MouseGastrulationData,
MouseThymusAgeing, magick, RCurl, curl, graphics",NA,GPL-3 + file LICENSE,NA,NA,NA,NA,no,4.3.3
mime,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.13,NA,NA,tools,NA,NA,NA,GPL,NA,NA,NA,NA,yes,4.3.3
miniUI,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.2,NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,4.3.3
minqa,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.8,NA,NA,Rcpp (>= 0.9.10),Rcpp,NA,NA,GPL-2,NA,NA,NA,NA,yes,4.3.3
mitml,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4-5,NA,NA,"pan, jomo, haven, grDevices, graphics, stats, methods, utils",NA,"mice, miceadds, Amelia, lme4, nlme, lavaan, geepack, glmmTMB,
survival, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
mixsqp,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.3-54,NA,R (>= 3.3.0),"utils, stats, irlba, Rcpp (>= 0.12.15)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
MKmisc,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.9,NA,R(>= 3.5.0),"stats, utils, graphics, grDevices, RColorBrewer, robustbase,
ggplot2, scales, limma",NA,"gplots, Amelia, knitr, rmarkdown, exactRankTests, foreach,
parallel, doParallel",NA,LGPL-3,NA,NA,NA,NA,no,4.3.3
mnormt,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.1,NA,R (>= 2.2.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
modelr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.11,NA,R (>= 3.2),"broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
modeltools,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2-23,NA,"stats, stats4",methods,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
monaLisa,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.8.1,NA,R (>= 4.1),"methods, stats, utils, grDevices, graphics, BiocGenerics,
GenomicRanges, TFBSTools, Biostrings, IRanges, stabs, BSgenome,
glmnet, S4Vectors, SummarizedExperiment, BiocParallel, grid,
circlize, ComplexHeatmap (>= 2.11.1), XVector, GenomeInfoDb,
tools, vioplot, RSQLite",NA,"JASPAR2020, JASPAR2024, BSgenome.Mmusculus.UCSC.mm10,
TxDb.Mmusculus.UCSC.mm10.knownGene, knitr, rmarkdown, testthat,
BiocStyle, gridExtra",NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
motifmatchr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.24.0,NA,R (>= 3.3),"Matrix, Rcpp, methods, TFBSTools, Biostrings, BSgenome,
S4Vectors, SummarizedExperiment, GenomicRanges, IRanges,
Rsamtools, GenomeInfoDb","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, BSgenome.Hsapiens.UCSC.hg19",NA,GPL-3 + file LICENSE,NA,NA,NA,NA,yes,4.3.3
msigdb,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10.0,NA,R (>= 4.1),"ExperimentHub, utils, GSEABase, org.Mm.eg.db, org.Hs.eg.db,
AnnotationDbi, methods, stats, AnnotationHub",NA,"singscore, vissE, knitr, prettydoc, BiocStyle, rmarkdown,
testthat (>= 3.0.0), BiocFileCache, GO.db, stringr, limma",NA,CC BY 4.0,NA,NA,NA,NA,no,4.3.3
msigdbr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,10.0.2,NA,R (>= 4.1),"assertthat, babelgene (>= 22.9), dplyr (>= 1.1.1), lifecycle,
methods, rlang, tibble, tidyselect (>= 1.2.0)",NA,"knitr, msigdbdf, rmarkdown, roxygen2, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
multcompView,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1-10,NA,NA,grid,NA,"multcomp, pgirmess, MASS",NA,GPL,NA,NA,NA,NA,no,4.3.3
multicool,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.1,NA,"methods, Rcpp (>= 0.11.2)",NA,Rcpp,NA,NA,GPL-2,NA,NA,NA,NA,yes,4.3.3
munsell,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.1,NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
mvtnorm,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3-3,NA,R(>= 3.5.0),stats,NA,"qrng, numDeriv",NA,GPL-2,NA,NA,NA,NA,yes,4.3.3
nabor,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.0,NA,R (>= 3.0.2),"Rcpp (>= 0.11.2), methods","Rcpp, RcppEigen (>= 0.3.2.2.0), BH (>= 1.54.0-4)","testthat, RANN",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.3
nebula,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.3,NA,R (>= 4.1),"Rcpp (>= 1.0.7), nloptr, stats, Matrix, methods, Rfast, trust,
parallelly (>= 1.34.0), doFuture (>= 0.12.2), future (>=
1.32.0), foreach (>= 1.5.2), doRNG (>= 1.8.6), Seurat,
SingleCellExperiment","Rcpp, RcppEigen","knitr, utils, rmarkdown",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
nlme,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.1-168,recommended,R (>= 3.6.0),"graphics, stats, utils, lattice",NA,"MASS, SASmixed",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
nloptr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2.1,NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,LGPL (>= 3),NA,NA,NA,NA,yes,4.3.3
nnet,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,7.3-20,recommended,"R (>= 3.0.0), stats, utils",NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
nortest,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0-4,NA,NA,stats,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
numDeriv,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2016.8-1.1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
OmnipathR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.10.1,NA,R(>= 4.0),"checkmate, crayon, curl, digest, dplyr(>= 1.1.0), httr,
igraph, jsonlite, later, logger, lubridate, magrittr, progress,
purrr, rappdirs, readr(>= 2.0.0), readxl, rlang, rmarkdown,
rvest, stats, stringi, stringr, tibble, tidyr, tidyselect,
tools, utils, withr, xml2, yaml",NA,"BiocStyle, biomaRt, bookdown, dnet, ggplot2, ggraph,
gprofiler2, knitr, mlrMBO, parallelMap, ParamHelpers,
Rgraphviz, sigmajs, smoof, supraHex, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ontologyIndex,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.12,NA,R (>= 3.5.0),NA,NA,"knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
openssl,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.3.2,NA,NA,askpass,NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
optmatch,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.10.8,NA,R (>= 3.5.0),"Rcpp, dplyr, stats, tibble, methods, graphics, rlemon",Rcpp,"RItools, boot, biglm, survey, testthat (>= 0.11.0), roxygen2,
brglm, arm, knitr, rmarkdown, markdown, pander, xtable,
rrelaxiv, magrittr","CBPS, haven",MIT + file LICENSE,yes,no,NA,NA,yes,4.3.3
ordinal,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2023.12-4.1,NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
org.Hs.eg.db,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.18.0,NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.63.2)",NA,NA,"DBI, annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
org.Mm.eg.db,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.18.0,NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.63.2)",NA,NA,"DBI, annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
pals,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10,NA,R (>= 4.1.0),"colorspace, dichromat, graphics, grDevices, mapproj, maps,
methods, stats",NA,"classInt, ggplot2, knitr, latticeExtra, reshape2, rgl,
rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
pan,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.9,NA,R (>= 2.10),NA,NA,"mitools, lme4",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
Pando,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.1,NA,R (>= 4.0.0),"tidyverse (>= 2.0.0), Seurat (>= 5.0.0), Signac (>= 1.12.0),
Matrix (>= 1.5-0), MatrixGenerics (>= 1.10.0), ggplot2, IRanges
(>= 2.32.0), GenomicRanges, motifmatchr, glmnetUtils,
bayestestR, ggpointdensity, ggraph, tidygraph, pals, patchwork,
TFBSTools, foreach, sparseMatrixStats (>= 1.10.0), irlba, uwot,
grr",NA,"rmarkdown, testthat, reticulate, xgboost, brms",NA,MIT,NA,NA,NA,NA,no,4.3.3
parallel,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.3.3,base,NA,"tools, compiler",NA,methods,"snow, Rmpi",Part of R 4.3.3,NA,NA,NA,NA,yes,4.3.3
parallelly,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.43.0,NA,NA,"parallel, tools, utils",NA,"commonmark, base64enc",NA,LGPL (>= 2.1),NA,NA,NA,NA,yes,4.3.3
parameters,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.25.0,NA,R (>= 3.6),"bayestestR (>= 0.15.2), datawizard (>= 1.0.2), insight (>=
1.2.0), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor (>= 0.9.12-4.7), BayesFM, bbmle,
betareg, BH, biglm, blme, boot, brglm2, brms, broom,
broom.mixed, cAIC4, car, carData, cgam, ClassDiscovery,
clubSandwich, cluster, cobalt, coda, coxme, cplm, curl, dbscan,
did, distributional, domir (>= 0.2.0), drc, DRR, effectsize (>=
0.8.6), EGAnet, emmeans (>= 1.7.0), epiR, estimatr, factoextra,
FactoMineR, faraway, fastICA, fixest, fpc, gam, gamlss, gee,
geepack, ggplot2, GLMMadaptive, glmmTMB (>= 1.1.10),
glmtoolbox, GPArotation, gt, haven, httr2, Hmisc, ivreg, knitr,
lavaan, lfe, lm.beta, lme4, lmerTest, lmtest, logistf, logitr,
logspline, lqmm, M3C, marginaleffects (>= 0.25.0), modelbased
(>= 0.9.0), MASS, Matrix, mclogit, mclust, MCMCglmm, mediation,
merDeriv, metaBMA, metafor, mfx, mgcv, mice (>= 3.17.0), mmrm,
multcomp, MuMIn, NbClust, nFactors, nestedLogit, nlme, nnet,
openxlsx, ordinal, panelr, pbkrtest, PCDimension, performance
(>= 0.12.0), plm, PMCMRplus, poorman, posterior, PROreg (>=
1.3.0), pscl, psych, pvclust, quantreg, randomForest,
RcppEigen, rmarkdown, rms, rstan, rstanarm, sandwich, see (>=
0.8.1), serp, sparsepca, survey, survival, svylme, testthat (>=
3.2.1), tidyselect, tinytable (>= 0.1.0), TMB, truncreg,
vdiffr, VGAM, WeightIt (>= 1.2.0), withr, WRS2",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
patchwork,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3.0,NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang (>= 1.0.0), cli, farver",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png, gt (>= 0.11.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
pathview,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.42.0,NA,R (>= 3.5.0),"KEGGgraph, XML, Rgraphviz, graph, png, AnnotationDbi,
org.Hs.eg.db, KEGGREST, methods, utils",NA,"gage, org.Mm.eg.db, RUnit, BiocGenerics",NA,GPL (>=3.0),NA,NA,NA,NA,no,4.3.3
pbapply,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.7-2,NA,R (>= 3.2.0),parallel,NA,"shiny, future, future.apply",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
pbkrtest,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.4,NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy
(>= 4.6.22)",NA,"markdown, knitr",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
pbmcapply,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.1,NA,"utils, parallel",NA,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
pcaMethods,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.94.0,NA,"Biobase, methods","BiocGenerics, Rcpp (>= 0.11.3), MASS",Rcpp,"matrixStats, lattice, ggplot2",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.3.3
performance,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.13.0,NA,R (>= 3.6),"bayestestR (>= 0.15.0), insight (>= 1.0.0), datawizard (>=
0.13.0), stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, carData, CompQuadForm, correlation,
cplm, dagitty, dbscan, DHARMa (>= 0.4.7), estimatr, fixest,
flextable, forecast, ftExtra, gamm4, ggdag, glmmTMB (>=
1.1.10), graphics, Hmisc, httr2, ICS, ICSOutlier, ISLR, ivreg,
lavaan, lme4, lmtest, loo, MASS, Matrix, mclogit, mclust,
metadat, metafor, mgcv, mlogit, multimode, nestedLogit, nlme,
nonnest2, ordinal, parallel, parameters (>= 0.22.0), patchwork,
pscl, psych, quantreg, qqplotr (>= 0.0.6), randomForest,
RcppEigen, rempsyc, rmarkdown, rstanarm, rstantools, sandwich,
see (>= 0.9.0), survey, survival, testthat (>= 3.2.1), tweedie,
VGAM, withr (>= 3.0.0)",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
pheatmap,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.12,NA,R (>= 2.0),"grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
pillar,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10.2,NA,NA,"cli (>= 2.3.0), glue, lifecycle, rlang (>= 1.0.2), utf8 (>=
1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
pkgbuild,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.7,NA,R (>= 3.5),"callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, Rcpp, rmarkdown, testthat (>= 3.2.0),
withr (>= 2.3.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
pkgconfig,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0.3,NA,NA,utils,NA,"covr, testthat, disposables (>= 1.0.3)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.1
pkgdown,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.2,NA,R (>= 4.0.0),"bslib (>= 0.5.1), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.0), downlit (>= 0.4.4), fontawesome, fs (>= 1.4.0), httr2
(>= 1.0.2), jsonlite, openssl, purrr (>= 1.0.0), ragg (>=
1.4.0), rlang (>= 1.1.4), rmarkdown (>= 2.27), tibble, whisker,
withr (>= 2.4.3), xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate (>= 0.24.0), gert, gt, htmltools,
htmlwidgets, knitr (>= 1.50), lifecycle, magick, methods,
pkgload (>= 1.0.2), quarto, rsconnect, rstudioapi, rticles,
sass, testthat (>= 3.1.3), tools",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
pkgload,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.0,NA,R (>= 3.4.0),"cli (>= 3.3.0), desc, fs, glue, lifecycle, methods, pkgbuild,
processx, rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, jsonlite, mathjaxr, pak, Rcpp, remotes, rstudioapi,
testthat (>= 3.2.1.1), usethis",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
plogr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.0,NA,NA,NA,NA,Rcpp,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.1
plotly,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.10.4,NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, sf, png,
IRdisplay, processx, plotlyGeoAssets, forcats, withr,
palmerpenguins, rversions, reticulate, rsvg",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
plotrix,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.8-4,NA,R (>= 3.5.0),"grDevices, graphics, stats, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
